iter	species	age	dbh	height
2	Xylopia_nitida	1.16667	0.0130966	2.07965
2	Xylopia_nitida	1.16667	0.0130657	2.07495
2	Xylopia_nitida	1.16667	0.0123688	1.96862
2	Xylopia_nitida	1.16667	0.0130836	2.07768
2	Xylopia_nitida	1.16667	0.0131066	2.08118
2	Xylopia_nitida	1.16667	0.0130788	2.07694
2	Xylopia_nitida	1.16667	0.0131024	2.08055
2	Xylopia_nitida	1.16667	0.0130915	2.07888
2	Xylopia_nitida	1.16667	0.0124337	1.97855
2	Xylopia_nitida	1.16667	0.0130957	2.07952
2	Xylopia_nitida	1.16667	0.0130907	2.07876
2	Xylopia_nitida	1.16667	0.0131141	2.08232
2	Xylopia_nitida	1.16667	0.0130406	2.07113
2	Xylopia_nitida	1.16667	0.0130746	2.07631
2	Xylopia_nitida	1.16667	0.0106158	1.69905
2	Xylopia_nitida	1.16667	0.0131082	2.08142
2	Xylopia_nitida	1.16667	0.0130581	2.07379
2	Xylopia_nitida	1.16667	0.01309	2.07866
2	Xylopia_nitida	1.16667	0.013155	2.08855
2	Xylopia_nitida	1.16667	0.0131146	2.0824
2	Xylopia_nitida	1.16667	0.0130725	2.07599
2	Xylopia_nitida	1.16667	0.0130922	2.07898
2	Xylopia_nitida	1.16667	0.0130589	2.07391
2	Xylopia_nitida	1.16667	0.0130826	2.07752
2	Xylopia_nitida	1.16667	0.01311	2.0817
2	Xylopia_nitida	1.16667	0.0130958	2.07954
2	Xylopia_nitida	1.16667	0.0131	2.08018
2	Xylopia_nitida	1.16667	0.0130432	2.07152
2	Xylopia_nitida	1.16667	0.0130856	2.07798
2	Xylopia_nitida	1.16667	0.012503	1.98913
2	Xylopia_nitida	1.16667	0.0130892	2.07853
