iter	sum1	sum10	sum30	ba	ba10	agb	gpp	npp	rday	rnight	rstem	litterfall
0	1.29973e+06	0	0	1.06667	0	760.39	1.06803	0.586001	0.0516602	0.102138	0.000151107	0.159443
1	1.30044e+06	0	0	1.30578	0	1025	1.07541	0.583233	0.0531775	0.106407	0.00190104	0.160632
2	1.30098e+06	0	0	1.53762	0	1305.17	1.15126	0.627033	0.0564686	0.111419	0.0025088	0.163409
3	1.30159e+06	0	0	1.76516	0	1600.59	1.22724	0.667457	0.0608779	0.118284	0.00333024	0.167665
4	1.3022e+06	0	0	1.98223	0	1899.86	1.27311	0.68546	0.0638857	0.127983	0.00405584	0.173258
5	1.3028e+06	0	0	2.20427	0	2222.72	1.36196	0.740699	0.0665959	0.131153	0.00481359	0.179864
6	1.30363e+06	0	0	2.43556	0	2575.67	1.48222	0.80868	0.0721868	0.140047	0.0057509	0.187445
7	1.30418e+06	0	0	2.68589	0	2976.25	1.66995	0.915071	0.0833489	0.151678	0.00685086	0.196207
8	1.30491e+06	0	0	2.9514	0	3420.83	1.86007	1.0151	0.0947926	0.170062	0.00842667	0.206899
9	1.30546e+06	0	0	3.21873	0	3888.17	1.99232	1.07225	0.106042	0.19088	0.0100959	0.219995
10	1.30609e+06	0	0	3.47642	0	4356.67	2.03226	1.08163	0.110662	0.203103	0.0109302	0.23534
11	1.30687e+06	0	0	3.69415	0	4765.21	1.85661	0.957938	0.103898	0.2102	0.0113007	0.251802
12	1.31806e+06	0	0	3.92053	0	5192.34	1.91874	0.996496	0.105543	0.212774	0.0117856	0.268293
13	1.31876e+06	0	0	4.12754	0	5602.44	1.90744	0.978723	0.10744	0.219275	0.0127536	0.280909
14	1.31987e+06	0	0	4.34575	0	6045.56	2.02243	1.04911	0.111495	0.224228	0.0133922	0.291297
15	1.32061e+06	0	0	4.57232	0	6516.7	2.13411	1.11121	0.117368	0.232144	0.0149555	0.300229
16	1.3212e+06	0	0	4.79371	0	6988.35	2.16829	1.11695	0.120521	0.245372	0.0158875	0.308773
17	1.32176e+06	0	0	5.02674	0	7496.73	2.29375	1.20057	0.123038	0.245816	0.0169035	0.317437
18	1.32241e+06	0	0	5.27425	0	8048.67	2.4648	1.29875	0.130823	0.25708	0.0183808	0.326689
19	1.32302e+06	0	0	5.54704	0	8672.31	2.74938	1.46077	0.14849	0.273052	0.0201789	0.337389
20	1.32366e+06	0	0	5.84155	0	9363.16	3.04683	1.61855	0.166053	0.30058	0.0230974	0.350712
21	1.32459e+06	0	0	6.14672	0	10096.6	3.26516	1.71746	0.183032	0.332056	0.0260089	0.367859
22	1.3253e+06	0	0	6.44242	0	10825.1	3.29349	1.71265	0.188589	0.349281	0.0267438	0.388653
23	1.32589e+06	0	0	6.68479	0	11436.2	2.9295	1.46345	0.174871	0.358049	0.026564	0.411174
24	1.3267e+06	0	0	6.92003	0	12041.8	2.94357	1.47377	0.174832	0.357175	0.0268247	0.431528
25	1.32742e+06	0	0	7.13414	0	12603.1	2.82246	1.37919	0.17585	0.364265	0.0281148	0.44756
