iter	nbdead_n1	nbdead_n10	nbTreefall1	nbTreefall10
246	149.12	0.96	0	0
247	162.88	0.8	0	0
248	175.36	0.64	0	0
249	192	0.48	0	0
250	260	0.8	0	0
251	301.12	0.96	0	0
252	305.6	0.16	0	0
253	303.52	0.16	0	0
254	250.24	0.64	0	0
255	205.12	0.48	0	0
256	184	0.32	0	0
257	159.04	0.64	0	0
258	150.56	0.48	0	0
259	159.68	0.48	0	0
260	188.32	0.96	0	0
261	203.68	0.64	0	0
262	262.72	1.12	0	0
263	299.68	1.12	0	0
264	298.88	0.8	0	0
265	295.68	0.64	0	0
266	248.32	0.96	0	0
267	219.04	0.48	0	0
268	186.72	0.96	0	0
269	163.36	0.96	0	0
270	140.8	1.28	0	0
271	164.32	0.64	0	0
272	177.12	0.96	0	0
273	211.68	1.76	0	0
274	265.6	1.28	0	0
275	299.84	1.6	0	0
276	309.92	1.28	0	0
277	297.92	1.92	0	0
278	262.56	0.96	0	0
279	216.48	0.64	0	0
280	174.88	1.28	0	0
281	157.6	0.96	0	0
282	149.92	0.64	0	0
283	168.96	1.44	0	0
284	180.32	1.12	0	0
285	222.4	1.76	0	0
286	260.48	0.96	0	0
287	312.64	0.64	0	0
288	316.8	1.44	0	0
289	300.8	0.64	0	0
290	262.08	1.92	0	0
291	217.12	0.8	0	0
292	184.16	0.8	0	0
293	156.96	1.12	0	0
294	147.36	1.12	0	0
295	169.76	1.44	0	0
296	187.2	1.44	0	0
297	228	1.44	0	0
298	273.28	1.28	0	0
299	320.64	1.92	0	0
300	310.24	0.64	0	0
301	305.92	1.6	0	0
302	262.72	1.92	0	0
303	232.8	1.76	0	0
304	190.72	1.44	0	0
305	157.12	1.28	0	0
306	147.68	0.64	0	0
307	170.4	1.92	0	0
308	181.12	1.76	0	0
309	216	1.28	0	0
310	278.56	1.76	0	0
311	323.2	2.08	0	0
312	317.44	1.44	0	0
313	298.88	1.6	0	0
314	269.12	0.8	0	0
315	219.52	1.92	0	0
316	183.36	0.96	0	0
317	163.36	1.6	0	0
318	147.84	1.44	0	0
319	166.72	0.96	0	0
320	186.56	2.72	0	0
321	212.8	2.24	0	0
322	281.44	1.44	0	0
323	320.64	1.76	0	0
324	330.72	0.8	0	0
325	311.68	0.8	0	0
326	269.6	1.44	0	0
327	222.56	0.8	0	0
328	181.76	1.28	0	0
329	153.6	0.96	0	0
330	151.36	1.76	0	0
331	170.08	1.28	0	0
332	194.56	1.12	0	0
333	229.76	2.56	0	0
334	282.4	3.04	0	0
335	322.24	1.92	0	0
336	328.64	1.92	0	0
337	310.88	1.12	0	0
338	268.16	1.44	0	0
339	217.12	1.92	0	0
340	186.88	1.12	0	0
341	163.04	0.96	0	0
342	140.16	1.92	0	0
343	166.88	2.88	0	0
344	188.16	2.08	0	0
345	219.2	3.04	0	0
346	295.36	2.24	0	0
347	332	1.44	0	0
348	312.16	1.76	0	0
349	316.48	1.44	0	0
350	262.08	0.32	0	0
351	222.72	1.12	0	0
352	192.64	0.8	0	0
353	156.8	0.64	0	0
354	139.2	1.28	0	0
355	168.16	1.92	0	0
356	192.32	1.28	0	0
357	232.8	2.08	0	0
358	290.56	1.44	0	0
359	325.92	1.44	0	0
360	329.76	2.08	0	0
361	328.64	1.76	0	0
362	261.28	0.48	0	0
363	223.2	1.6	0	0
364	174.08	1.44	0	0
365	154.24	1.12	0	0
366	143.52	1.12	0	0
367	166.08	2.08	0	0
368	201.12	2.72	0	0
369	232	1.92	0	0
370	291.04	2.08	0	0
371	324.96	2.08	0	0
372	340.64	1.6	0	0
373	315.36	2.4	0	0
374	268.32	1.6	0	0
375	222.72	1.76	0	0
376	187.2	1.92	0	0
377	153.12	0.8	0	0
378	142.4	1.6	0	0
379	181.76	2.08	0	0
380	191.52	1.6	0	0
381	224.48	1.6	0	0
382	276.64	1.76	0	0
383	324.16	1.28	0	0
384	335.68	0.64	0	0
385	318.88	2.24	0	0
386	265.76	0.96	0	0
387	208.16	0.96	0	0
388	190.08	1.12	0	0
389	155.04	1.44	0	0
390	147.84	1.12	0	0
391	170.08	1.44	0	0
392	196.64	0.96	0	0
393	219.68	1.28	0	0
394	278.4	1.44	0	0
395	328.8	1.12	0	0
396	317.92	1.44	0	0
397	317.28	1.44	0	0
398	279.52	0.8	0	0
399	228	2.4	0	0
400	189.6	0.8	0	0
401	164.48	1.28	0	0
402	152.32	1.76	0	0
403	168.32	1.28	0	0
404	186.24	2.24	0	0
405	217.92	1.12	0	0
406	298.08	1.6	0	0
407	340.64	2.08	0	0
408	327.84	1.28	0	0
409	320.32	1.12	0	0
410	266.72	1.92	0	0
411	241.76	1.28	0	0
412	183.68	0.96	0	0
413	150.4	1.6	0	0
414	157.92	1.92	0	0
415	166.56	1.6	0	0
416	196.32	1.76	0	0
417	227.68	1.44	0	0
418	292	2.24	0	0
419	335.52	1.28	0	0
420	330.72	2.24	0	0
421	324.32	1.44	0	0
422	279.2	1.44	0	0
423	229.6	1.6	0	0
424	194.56	2.08	0	0
425	153.76	0.96	0	0
426	150.72	1.6	0	0
427	158.88	1.28	0	0
428	197.44	1.92	0	0
429	216.96	1.12	0	0
430	299.2	1.28	0	0
431	343.52	1.28	0	0
