iter	species	sum1	sum10	sum30	ba	ba10	agb	gpp	npp	rday	rnight	rstem	litterfall
0	Licania_canescens	9082.24	0	0	0	0	0	0	0	0	0	0	0
0	Licania_heteromorpha	9109.44	0	0	0	0	0	0	0	0	0	0	0
0	Licania_latistipula	9117.44	0	0	0	0	0	0	0	0	0	0	0
0	Licania_majuscula	9119.36	0	0	0	0	0	0	0	0	0	0	0
0	Licania_membranacea	9224.96	0	0	0	0	0	0	0	0	0	0	0
0	Licania_micrantha	9232.8	0	0	0	0	0	0	0	0	0	0	0
0	Licania_minutiflora	9258.24	0	0	0	0	0	0	0	0	0	0	0
0	Licania_ovalifolia	9264.48	0	0	0	0	0	0	0	0	0	0	0
0	Manilkara_bidentata	9311.36	0	0	0	0	0	0	0	0	0	0	0
0	Manilkara_huberi	9355.84	0	0	0	0	0	0	0	0	0	0	0
0	Melicoccus_pedicellaris	9362.88	0	0	0	0	0	0	0	0	0	0	0
0	Micropholis_cayennensis	9393.76	0	0	0	0	0	0	0	0	0	0	0
0	Micropholis_egensis	9409.92	0	0	0	0	0	0	0	0	0	0	0
0	Micropholis_guyanensis	9428.16	0	0	0	0	0	0	0	0	0	0	0
0	Micropholis_longipedicellata	9430.24	0	0	0	0	0	0	0	0	0	0	0
0	Micropholis_melinoniana	9434.4	0	0	0	0	0	0	0	0	0	0	0
0	Micropholis_obscura	9435.04	0	0	0	0	0	0	0	0	0	0	0
0	Micropholis_porphyrocarpa	9445.44	0	0	0	0	0	0	0	0	0	0	0
0	Micropholis_sanctae-rosae	9464.64	0	0	0	0	0	0	0	0	0	0	0
0	Micropholis_venulosa	9473.6	0	0	0	0	0	0	0	0	0	0	0
0	Minquartia_guianensis	9498.56	0	0	0	0	0	0	0	0	0	0	0
0	Mouriri_crassifolia	9501.44	0	0	0	0	0	0	0	0	0	0	0
0	Naucleopsis_guianensis	9506.56	0	0	0	0	0	0	0	0	0	0	0
0	Ocotea_argyrophylla	9515.2	0	0	0	0	0	0	0	0	0	0	0
0	Oxandra_asbeckii	9549.28	0	0	0	0	0	0	0	0	0	0	0
0	Parinari_campestris	9549.76	0	0	0	0	0	0	0	0	0	0	0
0	Parinari_montana	9551.2	0	0	0	0	0	0	0	0	0	0	0
0	Pogonophora_schomburgkiana	9551.84	0	0	0	0	0	0	0	0	0	0	0
