iter	sum1	sum10	sum30	ba	ba10	agb	gpp	npp	rday	rnight	rstem	litterfall
55	1.52248e+06	0	0	10.7509	0	27832.8	3.71664	1.76345	0.253246	0.483515	0.0641719	0.560287
56	1.53816e+06	0	0	10.8211	0	28367.2	3.96566	1.88486	0.271543	0.510116	0.0695885	0.561378
57	1.55254e+06	0	0	10.921	0	28966.9	4.03007	1.88255	0.285411	0.537099	0.074197	0.565438
58	1.56498e+06	0	0	11.0112	0	29524.3	3.86149	1.77326	0.279741	0.536573	0.0722803	0.571616
59	1.57934e+06	0	0	11.0585	0	29909.5	3.27659	1.417	0.247257	0.523506	0.0682504	0.577686
60	1.59507e+06	0	0	11.114	0	30301.7	3.26137	1.44187	0.237663	0.500335	0.0663036	0.581494
61	1.60925e+06	0	0	11.1546	0	30652.2	3.09138	1.33163	0.232946	0.496198	0.0670786	0.582157
62	1.62329e+06	0	0	11.1977	0	31013	3.17792	1.40154	0.232647	0.487814	0.0663355	0.579993
63	1.63757e+06	0	0	11.2294	0	31362.1	3.23595	1.43335	0.236777	0.488397	0.0698196	0.576288
64	1.65286e+06	0	0	11.2349	0	31636.6	3.14981	1.36549	0.234365	0.498047	0.0699898	0.572195
65	1.66844e+06	0	0	11.2427	0	31937.2	3.25491	1.46073	0.230185	0.480334	0.0705427	0.568336
66	1.68634e+06	0	0	11.2535	0	32264.8	3.40489	1.55295	0.235866	0.484214	0.0726879	0.564956
67	1.70184e+06	0	0	11.3037	0	32717.4	3.68214	1.70932	0.257887	0.494934	0.0756271	0.563245
68	1.71749e+06	0	0	11.3916	0	33291.3	3.92565	1.82801	0.275619	0.520295	0.0818227	0.563868
69	1.73202e+06	0	0	11.4772	0	33857.3	3.96584	1.8129	0.287901	0.544293	0.0868831	0.566562
70	1.74632e+06	0	0	11.5581	0	34385.4	3.77882	1.69733	0.28029	0.539969	0.0842723	0.570804
71	1.7631e+06	0	0	11.6033	0	34751.3	3.18978	1.34283	0.246495	0.524216	0.0793014	0.574901
72	1.78064e+06	0	0	11.6618	0	35137.8	3.17184	1.37153	0.23554	0.497775	0.0768752	0.576647
73	1.80087e+06	0	0	11.7065	0	35464.8	3.00555	1.2639	0.230902	0.493631	0.0775697	0.575266
74	1.82005e+06	0	0	11.7548	0	35818.4	3.09778	1.33861	0.230591	0.484998	0.0765089	0.571904
75	1.83892e+06	0	0	11.8002	0	36177.1	3.16533	1.37554	0.235165	0.486353	0.080383	0.567726
76	1.85574e+06	0	0	11.8138	0	36448.9	3.09654	1.31826	0.233312	0.496838	0.080456	0.563792
77	1.87136e+06	0	0	11.8243	0	36733.2	3.21379	1.42029	0.229847	0.480538	0.0809071	0.559922
78	1.88815e+06	0	0	11.8609	0	37107.5	3.37434	1.51864	0.235974	0.485189	0.0833247	0.557413
79	1.9039e+06	0	0	11.9233	0	37591.1	3.66279	1.68194	0.258264	0.496193	0.0866216	0.556456
80	1.91965e+06	0	0	11.9922	0	38111.5	3.9133	1.80511	0.27597	0.521417	0.0933934	0.556853
81	1.93707e+06	0	0	12.0866	0	38700.2	3.9695	1.79865	0.288949	0.546646	0.098966	0.559934
82	1.95569e+06	0	0	12.176	0	39258.9	3.79565	1.68986	0.282318	0.544242	0.0958641	0.565021
83	1.97614e+06	0	0	12.2282	0	39643.7	3.21484	1.33965	0.249095	0.530042	0.0900824	0.570099
84	2.00248e+06	0	0	12.2786	0	40007.5	3.2027	1.36991	0.239119	0.505839	0.0871196	0.572827
85	2.02382e+06	0	0	12.3256	0	40346.4	3.03848	1.26225	0.234895	0.502712	0.0878411	0.572954
86	2.04372e+06	0.444444	0	12.3843	0.00351129	40726.2	3.13558	1.33897	0.23516	0.495243	0.0865476	0.571126
87	2.06135e+06	0.444444	0	12.442	0.00355873	41117.4	3.20627	1.37691	0.240018	0.496991	0.0908759	0.568341
88	2.07678e+06	0.444444	0	12.467	0.00361209	41403.2	3.1317	1.31629	0.237943	0.507332	0.0908241	0.564949
89	2.09162e+06	0.444444	0	12.4958	0.00365484	41743.1	3.25397	1.42151	0.2346	0.491072	0.0913477	0.562374
90	2.10703e+06	0.888889	0	12.5324	0.00722127	42126.9	3.41745	1.52113	0.24095	0.49604	0.0939606	0.560521
91	2.12338e+06	0.888889	0	12.5733	0.00735355	42564.6	3.70673	1.68429	0.263633	0.507145	0.0974241	0.559621
92	2.14189e+06	1.77778	0	12.657	0.0144814	43134	3.95628	1.80508	0.281731	0.532962	0.104916	0.560559
