iter	species	age	dbh	height
2	Xylopia_nitida	1.16667	0.0130671	2.07517
2	Xylopia_nitida	1.16667	0.0130724	2.07598
2	Xylopia_nitida	1.16667	0.0131206	2.08331
2	Xylopia_nitida	1.16667	0.013119	2.08307
2	Xylopia_nitida	1.16667	0.0130925	2.07903
2	Xylopia_nitida	1.16667	0.0130751	2.07639
2	Xylopia_nitida	1.16667	0.0131273	2.08432
2	Xylopia_nitida	1.16667	0.0130545	2.07324
2	Xylopia_nitida	1.16667	0.0125591	1.99769
2	Xylopia_nitida	1.16667	0.0130323	2.06987
2	Xylopia_nitida	1.16667	0.0130867	2.07815
2	Xylopia_nitida	1.16667	0.0116578	1.85964
2	Xylopia_nitida	1.16667	0.0130787	2.07693
2	Xylopia_nitida	1.16667	0.013085	2.07789
2	Xylopia_nitida	1.08333	0.0113585	1.81363
2	Xylopia_nitida	1.16667	0.0131302	2.08477
2	Xylopia_nitida	1.16667	0.0131189	2.08305
2	Xylopia_nitida	1.16667	0.0130862	2.07807
2	Xylopia_nitida	1.16667	0.0131422	2.0866
2	Xylopia_nitida	1.16667	0.0131062	2.08112
2	Xylopia_nitida	1.16667	0.0113686	1.81518
2	Xylopia_nitida	1.16667	0.013054	2.07318
2	Xylopia_nitida	1.16667	0.0130789	2.07696
2	Xylopia_nitida	1.16667	0.0131492	2.08766
2	Xylopia_nitida	1.16667	0.0131261	2.08415
2	Xylopia_nitida	1.16667	0.0130903	2.0787
2	Xylopia_nitida	1.16667	0.013125	2.08398
2	Xylopia_nitida	1.16667	0.0131051	2.08095
2	Xylopia_nitida	1.16667	0.0131395	2.08619
