Iter	Sites_abc	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_nogaps_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_incanopy_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	transm_full_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_na_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_empty_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	voxcanopy_filled_z	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_nogaps_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	transm_full_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxna_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxempty_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	voxfilled_d	nb_aggregates	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	LAIhist	
		0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69		0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	
115	62500	0.703246	0.684601	0.655545	0.647936	0.682869	0.614772	0.543896	0.508799	0.453226	0.390395	0.365782	0.450017	0.565601	0.679229	0.80894	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.986493	0.989081	0.993042	0.996617	0.986755	0.95324	0.8786	0.794383	0.685398	0.48427	0.38348	0.452798	0.566449	0.679229	0.80894	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.986602	0.989049	0.992992	0.996592	0.986936	0.953706	0.880948	0.803293	0.713359	0.561533	0.537656	0.692339	0.911156	0.990204	0.999969	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	53841	53603	53565	53486	53455	53571	53929	53772	52685	51079	46265	35013	12800	1909	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8659	8637	8628	8622	8562	8288	7379	6009	4255	2058	605	127	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51390	51747	52483	52972	51222	47068	39574	31262	22371	7866	1291	177	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2451	1856	1082	514	2233	6503	14355	22510	30314	43213	44974	34836	12775	1909	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.565845	0.364299	0.398849	0.46145	0.453637	0.466565	0.494768	0.56309	0.660992	0.701362	0.699593	0.691967	0.662928	0.560806	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.567575	0.386459	0.517175	0.814621	0.877341	0.922757	0.960933	0.984368	0.992732	0.994597	0.993197	0.992758	0.996547	0.996016	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	930	2107	4359	5940	7222	8044	8438	8484	8371	7969	6642	2851	476	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	2137	11827	37870	43487	46725	49145	49506	47417	43956	38020	27828	9855	1420	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62251	59173	48259	19879	12590	7912	4119	1837	1039	810	881	670	102	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0272	0.2208	0.464	0.24	0.0464	0.0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
