iter	sum1	sum10	sum30	ba	ba10	agb	gpp	npp	rday	rnight	rstem	litterfall
55	1.54775e+06	0	0	10.7285	0	27816.1	3.71669	1.76246	0.253513	0.484081	0.0642882	0.558807
56	1.56207e+06	0	0	10.811	0	28374.3	3.96678	1.88436	0.271897	0.510833	0.0697514	0.559989
57	1.5757e+06	0	0	10.8985	0	28944.9	4.02525	1.87836	0.285617	0.537634	0.0743131	0.563865
58	1.58923e+06	0	0	10.983	0	29488.9	3.85699	1.76954	0.279882	0.536946	0.0723637	0.570104
59	1.60326e+06	0	0	11.0372	0	29893.4	3.27192	1.41294	0.247447	0.52409	0.0683719	0.57661
60	1.6186e+06	0	0	11.0892	0	30278.1	3.25387	1.43625	0.237708	0.500623	0.0664086	0.580451
61	1.63419e+06	0	0	11.1316	0	30624.6	3.08037	1.3241	0.232833	0.496194	0.0671636	0.580832
62	1.64952e+06	0	0	11.1763	0	30985.3	3.16553	1.39347	0.232383	0.487458	0.0664044	0.578541
63	1.66545e+06	0	0	11.2162	0	31346.1	3.2259	1.42711	0.236489	0.487904	0.0698894	0.574762
64	1.68112e+06	0	0	11.2272	0	31636.5	3.14548	1.3628	0.234223	0.497735	0.07009	0.570855
65	1.69757e+06	0	0	11.2335	0	31933.6	3.25237	1.4593	0.230038	0.479969	0.0706287	0.566839
66	1.71441e+06	0	0	11.2508	0	32274	3.4002	1.54992	0.235759	0.483997	0.0727943	0.563542
67	1.73033e+06	0	0	11.2902	0	32705.4	3.67592	1.70516	0.257788	0.494767	0.0756874	0.561776
68	1.74644e+06	0	0	11.3613	0	33234.5	3.91517	1.82139	0.275343	0.51984	0.0817652	0.562064
69	1.76131e+06	0	0	11.4541	0	33813	3.95795	1.80817	0.287572	0.543733	0.0868329	0.564809
70	1.77591e+06	0	0	11.5407	0	34352.3	3.77095	1.69248	0.280035	0.539556	0.0842456	0.569128
71	1.79297e+06	0	0	11.5947	0	34741.5	3.1835	1.33864	0.246383	0.524081	0.0793074	0.573482
72	1.8128e+06	0	0	11.6438	0	35101.2	3.16388	1.36626	0.235416	0.497601	0.0768167	0.575108
73	1.83251e+06	0	0	11.6912	0	35434.1	2.9986	1.25931	0.230767	0.493432	0.077509	0.573877
74	1.8499e+06	0	0	11.7421	0	35790.8	3.09105	1.33426	0.23045	0.484778	0.0764342	0.570482
75	1.86776e+06	0	0	11.7877	0	36149.1	3.16026	1.37242	0.235019	0.486089	0.0802945	0.566288
76	1.88462e+06	0	0	11.8217	0	36468.3	3.09032	1.31437	0.23318	0.496608	0.0804217	0.562463
77	1.89979e+06	0	0	11.8474	0	36797.5	3.20965	1.41701	0.229916	0.480744	0.0809625	0.559128
78	1.91582e+06	0	0	11.8893	0	37187.1	3.3703	1.51538	0.236084	0.485481	0.0833972	0.55664
79	1.93038e+06	0	0	11.9436	0	37648.4	3.65606	1.67706	0.258312	0.496369	0.086648	0.555436
80	1.94661e+06	0	0	12.0262	0	38206.1	3.90663	1.79949	0.27624	0.522053	0.0935049	0.556292
81	1.96268e+06	0	0	12.1172	0	38789.1	3.96169	1.79237	0.289166	0.547205	0.0990694	0.559322
82	1.98027e+06	0	0	12.1968	0	39319.9	3.78521	1.68241	0.282322	0.544402	0.0959	0.564159
83	2.00224e+06	0	0	12.2494	0	39709.5	3.20291	1.33156	0.248989	0.529993	0.0901199	0.569114
84	2.02744e+06	0	0	12.3023	0	40083.1	3.19211	1.36292	0.238943	0.505594	0.0871784	0.571878
85	2.05039e+06	0	0	12.3455	0	40410.6	3.02884	1.25632	0.234633	0.502261	0.0878418	0.571848
86	2.07178e+06	0	0	12.3981	0	40773.4	3.12579	1.33328	0.234801	0.494588	0.0865029	0.569737
87	2.09054e+06	0	0	12.4557	0	41166.2	3.19863	1.37268	0.2397	0.496403	0.0908256	0.566933
88	2.10654e+06	0	0	12.4872	0	41477.1	3.12599	1.31271	0.237807	0.507129	0.0908379	0.563848
89	2.1218e+06	0.16	0	12.5276	0.00126067	41838.1	3.24613	1.4168	0.234368	0.490676	0.091356	0.561054
