iter	col	row	from_Data	sp_lab	site	CrownDisplacement	Pmass	Nmass	LMA	wsg	Rdark	Vcmax	Jmax	leaflifespan	lambda_young	lambda_mature	lambda_old	dbhmature	dbhmax	hmax	ah	Ct	LAImax	fraction_filled	mult_height	mult_CR	mult_CD	mult_P	mult_N	mult_LMA	mult_dbhmax	dev_wsg	age	dbh	sapwood_area	height	CD	CR	GPP	NPP	Rday	Rnight	Rstem	LAmax	LA	youngLA	matureLA	oldLA	LAI	litter	carbon_storage	carbon_biometry	multiplier_seed	hurt	NPPneg	dbh_previous	AGB	s_name
2400	0	0	0	164	0	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	6.9752	1	0.43009	0.27396	0.18119	0.36237	50.21	0.3031	32.048	4.3994	0.85	1	1	1	1	1	1	1	0	15.25	0.023916	0.00029713	3.6721	0.73442	0.80098	36.353	14.156	3.1161	6.5536	1.0833	2.0327	0.64602	0.092616	0.21534	0.33806	0.63612	9.2539	0.076169	0.74956	1	0	0	0.023665	0.62839	Xylopia_nitida
2400	1	0	0	164	1	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	8.8128	1	0.34041	0.20512	0.18119	0.36237	50.21	0.3031	31.409	4.3994	0.85	1	1	1	1	1	1	1	-0	98.167	0.24774	0.012387	22.582	4.5164	3.4935	4301.1	1630.8	328.79	707.72	277.73	96.91	69.748	7.912	23.269	38.567	2.1566	790.31	5.9556e-06	224.46	1	0	0	0.24698	414.64	Xylopia_nitida
2400	2	0	0	164	2	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	8.2564	1	0.36335	0.22201	0.18119	0.36237	50.21	0.3031	31.423	4.3994	0.85	1	1	1	1	1	1	1	-0	12.75	0.06384	0.0016834	8.7355	1.7471	1.4868	494.92	213.9	35.302	76.329	14.6	16.069	7.4956	0.90647	2.5365	4.0526	1.2609	89.602	0.075814	35.39	1	0	0	0.062926	10.651	Xylopia_nitida
2400	3	0	0	164	3	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	7.0814	1	0.42364	0.26875	0.18119	0.36237	50.21	0.3031	31.792	4.3994	0.85	1	1	1	1	1	1	1	-0	15.25	0.024117	0.00030029	3.7007	0.74013	0.80522	34.775	13.03	3.1172	6.5536	1.1033	2.0776	0.64602	0.091227	0.21534	0.33945	0.62302	9.1152	0.07616	0.37926	1	0	0	0.023909	0.64397	Xylopia_nitida
2400	5	0	0	164	5	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	6.8559	1	0.43758	0.28006	0.18119	0.36237	50.21	0.3031	31.934	4.3994	0.85	1	1	1	1	1	1	1	0	15.167	0.013077	0.00012687	2.0767	0.41533	0.54758	3.1486	0.87991	0.32264	0.67684	0.26159	1.8056	0.066795	0.0082031	0.022164	0.036428	0.066795	1.0244	0	4.6528e-08	1	0	0	0.013072	0.10624	Xylopia_nitida
2400	7	0	0	164	7	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	10.336	1	0.29026	0.16977	0.18119	0.36237	50.21	0.3031	31.72	4.3994	0.85	1	1	1	1	1	1	1	0	36.917	0.09793	0.0025294	12.261	2.4522	1.9468	555.6	170.52	55.228	121.98	30.792	19.031	12.024	1.1634	4.008	6.8527	1.2137	116.24	1.5261e-05	6.5976	1	0	0	0.097662	35.18	Xylopia_nitida
2400	9	0	0	164	9	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	7.6964	1	0.38979	0.24208	0.18119	0.36237	50.21	0.3031	32.17	4.3994	0.85	1	1	1	1	1	1	1	-0	8.4167	0.02076	0.00024755	3.2185	0.6437	0.73265	35.332	14.476	2.8997	6.0774	0.79105	2.1056	0.59907	0.077839	0.19969	0.32154	0.59907	7.7774	0.076167	1.574	1	0	0	0.020311	0.41498	Xylopia_nitida
2400	10	0	0	164	10	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	7.6094	1	0.39425	0.24552	0.18119	0.36237	50.21	0.3031	31.493	4.3994	0.85	1	1	1	1	1	1	1	-0	53.916	0.090441	0.0015684	11.539	2.3078	1.8516	484.39	205.04	35.024	74.658	17.968	24.167	7.3586	0.9669	2.4538	3.938	0.83895	96.598	4.0572e-05	29.427	1	0	0	0.089978	28.238	Xylopia_nitida
2400	14	0	0	164	14	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	8.1909	1	0.36626	0.22418	0.18119	0.36237	50.21	0.3031	32.052	4.3994	0.85	1	1	1	1	1	1	1	0	18.917	0.11961	0.0093459	14.207	2.8415	2.2082	3312	1445.3	228.02	471.74	131.83	50.927	46.163	5.6876	15.839	24.637	3.7473	548.28	0	272.12	1	0	0	0.11754	60.811	Xylopia_nitida
2400	15	0	0	164	15	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	6.9512	1	0.43158	0.27517	0.18119	0.36237	50.21	0.3031	31.59	4.3994	0.85	1	1	1	1	1	1	1	-0	18.833	0.069133	0.0015427	9.3253	1.8651	1.5633	424.87	174.62	32.175	70.483	14.283	14.829	6.9478	0.99951	2.3159	3.6324	1.158	99.869	0	17.34	1	0	0	0.068601	13.334	Xylopia_nitida
