iter	sum1	sum10	sum30	ba	ba10	agb	gpp	npp	rday	rnight	rstem	litterfall
0	1.27795e+06	0	0	1.06425	0	758.411	1.06437	0.584004	0.0514394	0.101701	0.000150528	0.158675
1	1.27881e+06	0	0	1.30155	0	1021.81	1.07146	0.581113	0.0529818	0.106015	0.0018948	0.159827
2	1.27994e+06	0	0	1.53281	0	1301.25	1.14769	0.625045	0.0562881	0.111047	0.00250092	0.162639
3	1.28071e+06	0	0	1.75995	0	1596	1.22358	0.665454	0.0606922	0.117934	0.00332054	0.166909
4	1.28124e+06	0	0	1.97662	0	1894.75	1.26954	0.683527	0.0637131	0.127628	0.0040448	0.172502
5	1.28167e+06	0	0	2.19845	0	2217.24	1.35858	0.738852	0.0664358	0.130818	0.00480172	0.179131
6	1.28205e+06	0	0	2.42834	0	2568.62	1.47802	0.806368	0.0719846	0.139668	0.00573509	0.186609
7	1.28298e+06	0	0	2.67796	0	2967.98	1.66556	0.912587	0.0831315	0.151268	0.00683106	0.195405
8	1.28379e+06	0	0	2.94253	0	3411.05	1.85493	1.01227	0.0945412	0.169613	0.00840245	0.206083
9	1.28447e+06	0	0	3.20779	0	3875.59	1.98647	1.06911	0.105729	0.190316	0.0100625	0.21907
10	1.28574e+06	0	0	3.46479	0	4342.43	2.02648	1.07856	0.110351	0.202533	0.0108932	0.234411
11	1.28648e+06	0	0	3.6816	0	4749.57	1.85128	0.9552	0.103602	0.209607	0.0112625	0.250833
12	1.30219e+06	0	0	3.91025	0	5176.92	1.91652	0.995458	0.105405	0.212489	0.0117448	0.267799
13	1.30312e+06	0	0	4.1182	0	5587.77	1.90562	0.977924	0.107324	0.219029	0.0127193	0.280454
14	1.30397e+06	0	0	4.33665	0	6030.59	2.02055	1.04822	0.111376	0.223986	0.0133594	0.29082
15	1.30463e+06	0	0	4.56311	0	6501.07	2.132	1.11016	0.117235	0.231885	0.0149207	0.299729
16	1.30518e+06	0	0	4.78429	0	6971.71	2.16585	1.11574	0.120375	0.245059	0.0158518	0.308268
17	1.30573e+06	0	0	5.01735	0	7479.41	2.29111	1.1993	0.122876	0.245482	0.0168676	0.316917
18	1.30633e+06	0	0	5.26506	0	8031.2	2.46211	1.29746	0.130653	0.256738	0.0183451	0.326187
19	1.30692e+06	0	0	5.53784	0	8654.11	2.74645	1.45931	0.148297	0.272703	0.0201421	0.33688
20	1.30763e+06	0	0	5.83474	0	9348.18	3.04492	1.61768	0.165917	0.300316	0.0230677	0.350356
21	1.30803e+06	0	0	6.13951	0	10081.4	3.26374	1.71692	0.18289	0.331799	0.0259789	0.367448
22	1.3088e+06	0	0	6.43277	0	10804.8	3.28956	1.71056	0.188357	0.348911	0.0267045	0.388121
23	1.30984e+06	0	0	6.67526	0	11415	2.92622	1.46181	0.174652	0.357661	0.0265247	0.410692
24	1.31063e+06	0	0	6.91221	0	12023.2	2.94271	1.47367	0.174684	0.356884	0.0267919	0.431151
25	1.31121e+06	0	0	7.12551	0	12582.6	2.82047	1.3784	0.175669	0.363923	0.0280819	0.447176
26	1.31187e+06	0	0	7.34168	0	13158.9	2.90275	1.42875	0.179392	0.36646	0.0286206	0.458868
27	1.31244e+06	0	0	7.55465	0	13739.5	2.96396	1.45628	0.185335	0.372738	0.0310421	0.467156
28	1.3134e+06	0	0	7.75701	0	14300.1	2.92013	1.40951	0.186338	0.386104	0.0320851	0.473973
29	1.31445e+06	0	0	7.9675	0	14894.3	3.02894	1.49328	0.18585	0.37818	0.0332637	0.479662
30	1.31536e+06	0	0	8.18326	0	15522.3	3.19159	1.58861	0.193142	0.386757	0.0352753	0.485042
31	1.3181e+06	0	0	8.42562	0	16231.1	3.47538	1.74759	0.214222	0.40161	0.0377784	0.491504
32	1.31916e+06	0	0	8.67764	0	16990.8	3.73185	1.87328	0.233227	0.430883	0.0420405	0.500284
33	1.32154e+06	0	0	8.92227	0	17750.5	3.83243	1.89205	0.249194	0.461942	0.0458697	0.512074
34	1.32481e+06	0	0	9.13354	0	18445.2	3.71702	1.80635	0.248216	0.469456	0.0455907	0.525951
35	1.33096e+06	0	0	9.31215	0	19023.5	3.20286	1.48243	0.222675	0.464902	0.0438987	0.539847
36	1.33356e+06	0	0	9.47484	0	19576.7	3.19513	1.49972	0.21611	0.448851	0.0432413	0.549417
37	1.33665e+06	0	0	9.60294	0	20058.6	3.04336	1.39904	0.212573	0.446596	0.0441859	0.553647
38	1.34107e+06	0	0	9.71696	0	20532.2	3.13206	1.46593	0.212964	0.440322	0.0440246	0.553407
39	1.34602e+06	0	0	9.80367	0	20972.2	3.19879	1.50427	0.216971	0.441017	0.0466499	0.550473
40	1.35316e+06	0	0	9.83253	0	21302.7	3.13368	1.44965	0.21534	0.450715	0.0470229	0.54668
41	1.36595e+06	0	0	9.83731	0	21611.7	3.23808	1.53898	0.212313	0.436388	0.047568	0.542969
42	1.38095e+06	0	0	9.87403	0	21995.6	3.38469	1.6272	0.218342	0.441886	0.0493082	0.540557
43	1.39247e+06	0	0	9.9627	0	22510.2	3.66251	1.78347	0.239801	0.454225	0.0517014	0.540333
44	1.4032e+06	0	0	10.0954	0	23137	3.91487	1.90607	0.258477	0.482243	0.056473	0.543374
45	1.41046e+06	0	0	10.2448	0	23803.5	3.99214	1.90993	0.273376	0.511536	0.0606669	0.550038
46	1.41764e+06	0	0	10.3738	0	24413.3	3.8431	1.80828	0.269616	0.514608	0.0594873	0.559223
47	1.42554e+06	0	0	10.4669	0	24883	3.28383	1.46255	0.23976	0.50518	0.056563	0.568727
48	1.43406e+06	0	0	10.5489	0	25329.9	3.26907	1.48336	0.231232	0.484677	0.0552028	0.575125
49	1.44234e+06	0	0	10.6076	0	25709.3	3.10654	1.37755	0.226853	0.481065	0.0560646	0.577215
50	1.45029e+06	0	0	10.6652	0	26103.5	3.19935	1.44944	0.227045	0.473887	0.0555902	0.575866
51	1.46165e+06	0	0	10.7066	0	26478.8	3.25993	1.48377	0.231124	0.474403	0.0586973	0.572717
52	1.47564e+06	0	0	10.7133	0	26775	3.18418	1.42262	0.229054	0.484147	0.0590391	0.569124
53	1.4914e+06	0	0	10.7005	0	27053.1	3.28878	1.51475	0.225562	0.468194	0.0596222	0.56562
54	1.50995e+06	0	0	10.7009	0	27373.8	3.44112	1.60786	0.2315	0.472669	0.0615877	0.562751
55	1.52674e+06	0	0	10.7385	0	27808.3	3.72515	1.76847	0.253555	0.483964	0.064232	0.561464
56	1.5415e+06	0	0	10.8263	0	28374.5	3.97808	1.89237	0.271943	0.510681	0.0697008	0.562665
57	1.55414e+06	0	0	10.9232	0	28965.6	4.03565	1.88526	0.285817	0.537789	0.0743065	0.566747
58	1.56754e+06	0	0	11.0154	0	29524.4	3.86764	1.77634	0.280189	0.537282	0.0723816	0.57315
59	1.58044e+06	0	0	11.0724	0	29936.4	3.28151	1.41888	0.247777	0.524528	0.068405	0.579875
60	1.5962e+06	0	0	11.1261	0	30325.9	3.26386	1.44242	0.238052	0.501159	0.0664346	0.583871
61	1.61146e+06	0	0	11.1775	0	30690.2	3.08953	1.32978	0.23314	0.496684	0.0672107	0.584364
62	1.62666e+06	0	0	11.2218	0	31045.1	3.17302	1.39842	0.232571	0.487698	0.0664225	0.581751
63	1.64227e+06	0	0	11.2475	0	31378.2	3.23212	1.43143	0.236578	0.487948	0.0698642	0.577736
64	1.65845e+06	0	0	11.2652	0	31682.9	3.15065	1.3665	0.234276	0.497724	0.0700785	0.573755
65	1.67462e+06	0	0	11.2775	0	31995.5	3.25817	1.46325	0.230143	0.480049	0.0706371	0.569799
66	1.69035e+06	0	0	11.2866	0	32321.4	3.40701	1.55459	0.235867	0.484027	0.0727651	0.566451
67	1.70815e+06	0	0	11.3188	0	32735.3	3.68394	1.7109	0.257829	0.494627	0.07563	0.564537
68	1.72428e+06	0	0	11.4033	0	33292.4	3.92404	1.82764	0.275384	0.519729	0.081755	0.564864
69	1.73669e+06	0	0	11.4913	0	33863.2	3.96752	1.81515	0.287557	0.543474	0.086805	0.56735
70	1.75129e+06	0	0	11.577	0	34402.8	3.78064	1.69934	0.280052	0.539392	0.0842344	0.571766
71	1.76696e+06	0	0	11.6211	0	34768.1	3.19194	1.34524	0.24628	0.523621	0.0792437	0.5759
72	1.78688e+06	0	0	11.6766	0	35145.8	3.1744	1.37384	0.235432	0.497399	0.0767918	0.577691
73	1.80714e+06	0	0	11.7154	0	35463.7	3.00896	1.26669	0.230827	0.493309	0.0774752	0.576441
74	1.82687e+06	0	0	11.7681	0	35823	3.10016	1.3406	0.230534	0.484767	0.0763963	0.573053
75	1.84369e+06	0	0	11.8244	0	36202.1	3.16933	1.3789	0.235074	0.48599	0.0802874	0.568832
76	1.85792e+06	0	0	11.8596	0	36525.3	3.09985	1.32134	0.233195	0.496398	0.0804274	0.564984
77	1.87212e+06	0	0	11.8837	0	36839.6	3.21733	1.42317	0.229799	0.480273	0.0809306	0.561355
78	1.88652e+06	0	0	11.9067	0	37189.1	3.37818	1.52162	0.235956	0.484987	0.0833314	0.55887
79	1.90343e+06	0	0	11.9599	0	37644	3.66348	1.68313	0.258128	0.495807	0.0865555	0.557738
80	1.9203e+06	0	0	12.0383	0	38191.2	3.91539	1.80647	0.276065	0.521463	0.0934056	0.55854
81	1.93544e+06	0	0	12.1358	0	38787.1	3.96721	1.79695	0.288991	0.546699	0.0989979	0.561708
82	1.95403e+06	0	0	12.224	0	39339.6	3.79018	1.68671	0.282118	0.543802	0.0958552	0.566571
83	1.9749e+06	0	0	12.2763	0	39731	3.20956	1.33695	0.248829	0.529454	0.0900917	0.571681
84	1.99932e+06	0	0	12.3263	0	40091.7	3.19807	1.36796	0.238752	0.505013	0.0871122	0.574229
85	2.02223e+06	0	0	12.3774	0	40443.1	3.03723	1.26232	0.234659	0.502099	0.0878408	0.574598
86	2.04145e+06	0	0	12.4306	0	40798.1	3.13187	1.33754	0.234831	0.494484	0.0864782	0.572446
87	2.05909e+06	0	0	12.4789	0	41159.3	3.20091	1.37515	0.239521	0.495885	0.0907285	0.569245
88	2.07541e+06	0	0	12.5118	0	41477	3.13069	1.3168	0.237681	0.506665	0.0907515	0.566352
89	2.0918e+06	0.444444	0	12.5436	0.00351024	41804.8	3.24831	1.4195	0.234104	0.489953	0.0912002	0.563238
90	2.10621e+06	0.888889	0	12.5843	0.00708296	42195	3.4105	1.51863	0.240338	0.494674	0.0937911	0.561079
91	2.12267e+06	1.77778	0	12.6523	0.0142427	42694.5	3.70059	1.68249	0.262975	0.505735	0.0973166	0.56024
92	2.13876e+06	2.22222	0	12.7384	0.0180217	43278.8	3.95218	1.80431	0.281158	0.531759	0.10483	0.56123
93	2.15512e+06	3.55556	0	12.8143	0.0288953	43820.7	3.99899	1.79176	0.293846	0.556517	0.110709	0.563938
94	2.17358e+06	3.55556	0	12.8794	0.0293821	44325.4	3.81613	1.67901	0.286584	0.553091	0.106884	0.568511
95	2.19564e+06	5.33333	0	12.9146	0.043917	44671.4	3.22537	1.3247	0.252529	0.537988	0.100183	0.573235
96	2.21983e+06	7.11111	0	12.9576	0.0584608	45021	3.21517	1.35775	0.242284	0.513082	0.0967257	0.575774
97	2.24366e+06	8.88889	0	12.9905	0.0733282	45318.3	3.04842	1.24894	0.237864	0.509598	0.0972814	0.575594
98	2.26299e+06	9.77778	0	13.0359	0.0810765	45667.8	3.14799	1.3278	0.2381	0.501942	0.095659	0.573532
99	2.28297e+06	11.5556	0	13.0921	0.0960045	46058.3	3.2206	1.36659	0.243076	0.503814	0.100297	0.570743
100	2.29872e+06	14.6667	0	13.1195	0.121891	46362.9	3.1493	1.30748	0.241183	0.514727	0.10016	0.567631
101	2.31364e+06	16	0	13.1517	0.133726	46700.5	3.27025	1.41235	0.237737	0.498169	0.100584	0.564835
102	2.32793e+06	17.7778	0	13.1992	0.14931	47111.9	3.43365	1.51195	0.244115	0.503104	0.103348	0.562891
103	2.34432e+06	22.2222	0	13.2643	0.18688	47614.7	3.72376	1.67493	0.267133	0.514449	0.107093	0.562217
104	2.35978e+06	28.8889	0	13.3333	0.242966	48150.9	3.9769	1.79735	0.28535	0.54041	0.115091	0.562954
105	2.37671e+06	34.2222	0	13.4212	0.289282	48749.2	4.02494	1.784	0.298408	0.565897	0.121526	0.566165
106	2.39446e+06	42.6667	0	13.4919	0.360537	49265.7	3.83682	1.66955	0.290723	0.561788	0.117151	0.570397
107	2.41511e+06	52	0	13.5227	0.439776	49606.9	3.23826	1.31215	0.255955	0.546066	0.109654	0.574769
108	2.44132e+06	55.1111	0	13.5637	0.468771	49957.3	3.22665	1.34531	0.24551	0.520691	0.105725	0.577219
109	2.46319e+06	63.5556	0	13.601	0.541282	50280.6	3.0622	1.23796	0.241139	0.51734	0.106289	0.577113
110	2.48714e+06	72.4444	0	13.6339	0.616469	50595.4	3.16172	1.31748	0.241306	0.509381	0.104332	0.574879
111	2.50603e+06	78.2222	0	13.6653	0.668073	50920.4	3.23493	1.35668	0.246269	0.511066	0.109184	0.571743
112	2.52376e+06	90.6667	0	13.7036	0.773088	51251	3.16348	1.29727	0.244424	0.522302	0.108973	0.568908
113	2.53955e+06	96	0	13.7187	0.82291	51556.6	3.28685	1.40384	0.240991	0.50564	0.109321	0.566202
114	2.55328e+06	104	0	13.7384	0.894907	51890.3	3.4511	1.50412	0.247315	0.510327	0.112088	0.563836
115	2.56778e+06	117.778	0	13.776	1.01522	52314.5	3.73996	1.6667	0.270319	0.5212	0.115874	0.562678
116	2.585e+06	133.333	0	13.8437	1.15285	52857.5	3.99047	1.78696	0.288563	0.547064	0.124392	0.563354
117	2.60058e+06	151.556	0	13.9138	1.31327	53410.9	4.03467	1.77169	0.301282	0.571865	0.131073	0.565922
118	2.61938e+06	170.667	0	13.9832	1.48129	53937.5	3.84499	1.65724	0.293325	0.567294	0.126242	0.569976
119	2.64063e+06	185.333	0	14.0261	1.6163	54319.2	3.24266	1.29868	0.2581	0.551124	0.118087	0.574089
120	2.66567e+06	204	0	14.0597	1.77808	54640.5	3.22872	1.33165	0.247412	0.525218	0.113618	0.575852
121	2.68851e+06	218.667	0	14.091	1.91115	54937.6	3.06384	1.22445	0.242921	0.521604	0.114071	0.575338
122	2.71096e+06	233.333	0	14.1192	2.04355	55246.9	3.16317	1.30448	0.243039	0.513481	0.111803	0.573058
123	2.73123e+06	244.889	0	14.1489	2.15306	55576.9	3.2372	1.34335	0.248152	0.515458	0.116956	0.570121
124	2.74976e+06	266.222	0	14.1577	2.34059	55821	3.16505	1.28415	0.246114	0.526341	0.116507	0.566811
125	2.76501e+06	292	0	14.1796	2.56569	56137.6	3.28878	1.39152	0.242622	0.509433	0.116787	0.564057
126	2.77868e+06	307.556	0	14.2099	2.71283	56490.2	3.45175	1.49104	0.248914	0.513997	0.119671	0.561835
127	2.79225e+06	332.889	0	14.2544	2.94357	56944.8	3.74355	1.65488	0.272159	0.525043	0.123706	0.561029
128	2.80681e+06	358.222	0	14.3203	3.17982	57491.6	3.99354	1.77469	0.290256	0.550551	0.132697	0.561464
129	2.82437e+06	382.667	0	14.3834	3.41167	58026.3	4.0344	1.75734	0.302778	0.575003	0.139706	0.563728
130	2.84349e+06	404.444	0	14.4408	3.62202	58523.8	3.84028	1.64103	0.29457	0.570002	0.134424	0.567531
131	2.86704e+06	419.556	0	14.4711	3.77689	58864.3	3.23578	1.28258	0.259023	0.553353	0.125599	0.57136
132	2.89193e+06	441.778	0	14.5123	3.98343	59218.8	3.22362	1.31718	0.248371	0.52749	0.12064	0.573131
133	2.91632e+06	457.778	0	14.5429	4.14156	59514.6	3.05634	1.20851	0.243811	0.523788	0.121059	0.572412
134	2.93751e+06	473.333	0	14.5788	4.29658	59843	3.15498	1.28903	0.24379	0.51533	0.118333	0.569893
135	2.95817e+06	488	0	14.6077	4.44511	60148.4	3.22768	1.32728	0.248794	0.517027	0.123657	0.566618
136	2.97552e+06	501.778	0	14.6203	4.58658	60393.2	3.15359	1.26666	0.246752	0.528003	0.123104	0.563274
137	2.9899e+06	517.333	0	14.6436	4.74704	60710.8	3.27986	1.37612	0.243195	0.510871	0.123326	0.560574
138	3.00406e+06	530.667	0	14.6855	4.89394	61104.2	3.44603	1.47742	0.249602	0.515617	0.126346	0.558521
139	3.01733e+06	545.333	0	14.7209	5.05844	61519.8	3.73297	1.63847	0.272687	0.526291	0.130409	0.557248
140	3.03272e+06	560.444	0	14.7684	5.23323	62009.8	3.98221	1.75746	0.290756	0.551698	0.139743	0.557586
141	3.04956e+06	575.556	0	14.8337	5.4094	62557.8	4.02268	1.74	0.303109	0.575752	0.147067	0.559895
142	3.069e+06	592	0	14.8769	5.59215	62997.9	3.82546	1.6234	0.294423	0.569812	0.141267	0.563061
143	3.09298e+06	602.222	0	14.9014	5.71844	63305.3	3.22158	1.26674	0.258574	0.552481	0.131824	0.566348
144	3.11784e+06	613.333	0	14.9413	5.84767	63650.2	3.21058	1.30335	0.247864	0.52642	0.126177	0.567933
145	3.14248e+06	620.889	0	14.9743	5.94734	63957.5	3.04443	1.19517	0.243437	0.523015	0.126559	0.567283
146	3.16707e+06	629.778	0	15.0054	6.05802	64253.2	3.14058	1.27566	0.243165	0.513992	0.123087	0.564473
147	3.188e+06	638.222	0	15.0535	6.16808	64632.8	3.21581	1.31491	0.248365	0.516097	0.128592	0.561486
148	3.2053e+06	649.778	0	15.0793	6.30007	64922.7	3.14282	1.25487	0.246451	0.527335	0.127932	0.558272
149	3.21951e+06	657.778	0	15.1131	6.41001	65262.8	3.26637	1.36234	0.242977	0.510465	0.128003	0.555547
150	3.23344e+06	668	0	15.1446	6.54246	65628.9	3.43082	1.46235	0.249424	0.515322	0.130964	0.553531
151	3.24758e+06	679.111	0	15.1971	6.68751	66100.9	3.71781	1.62312	0.272551	0.526103	0.135134	0.552609
152	3.2639e+06	692	0	15.2502	6.85516	66612.5	3.96807	1.74202	0.290748	0.551768	0.144822	0.553289
153	3.27914e+06	703.111	0	15.3232	7.00787	67172.4	4.00434	1.72201	0.302912	0.575516	0.152299	0.555303
154	3.29766e+06	714.222	0	15.3738	7.1576	67641.8	3.80888	1.60748	0.294095	0.569244	0.146297	0.558407
155	3.32014e+06	718.667	0	15.4027	7.24289	67974.2	3.2066	1.25283	0.258155	0.551619	0.13652	0.561577
156	3.3464e+06	721.778	0	15.4097	7.30925	68174.1	3.18693	1.28723	0.246425	0.523315	0.130291	0.561863
157	3.37344e+06	727.556	0	15.4377	7.39777	68462.1	3.02204	1.17992	0.242012	0.519935	0.13054	0.560754
