iter	nbdead_n1	nbdead_n10	nbTreefall1	nbTreefall10
0	5.12	0	0	0
1	5.12	0	0	0
2	4.64	0	0	0
3	5.12	0	0	0
4	6.24	0	0	0
5	3.04	0	0	0
6	4.96	0	0	0
7	5.44	0	0	0
8	5.12	0	0	0
9	3.36	0	0	0
10	5.12	0	0	0
11	6.4	0	0	0
12	4.32	0	0	0
13	4.16	0	0	0
14	4.32	0	0	0
15	5.28	0	0	0
16	6.4	0	0	0
17	6.08	0	0	0
18	7.36	0	0	0
19	4.48	0	0	0
20	3.36	0	0	0
21	5.28	0	0	0
22	6.24	0	0	0
23	7.36	0	0	0
24	5.6	0	0	0
25	7.68	0	0	0
26	5.28	0	0	0
27	8.16	0	0	0
28	11.36	0	0	0
29	10.88	0	0	0
30	25.76	0	0	0
31	12.8	0	0	0
32	25.28	0	0	0
33	33.28	0	0	0
34	56	0	0	0
35	27.2	0	0	0
36	36.48	0	0	0
37	68.16	0	0	0
38	121.44	0	0	0
39	155.52	0	0	0
40	242.72	0	0	0
41	265.6	0	0	0
42	240.48	0	0	0
43	191.68	0	0	0
44	148.16	0	0	0
45	138.08	0	0	0
46	138.88	0	0	0
47	138.24	0	0	0
48	150.72	0	0	0
49	168.48	0	0	0
50	171.68	0	0	0
51	202.56	0	0	0
52	236.32	0	0	0
53	243.36	0	0	0
54	239.68	0	0	0
55	210.08	0	0	0
56	196.64	0	0	0
57	193.44	0	0	0
58	202.4	0	0	0
59	200.48	0	0	0
60	209.12	0	0	0
61	211.68	0	0	0
62	214.4	0	0	0
63	211.36	0	0	0
64	226.08	0	0	0
65	222.4	0	0	0
66	210.08	0	0	0
67	206.08	0	0	0
68	186.56	0	0	0
69	180	0	0	0
70	200.96	0	0	0
71	220.16	0	0	0
72	221.44	0	0	0
73	212.64	0	0	0
74	210.08	0	0	0
75	198.88	0	0	0
76	181.12	0	0	0
77	185.12	0	0	0
78	165.92	0	0	0
79	172	0	0	0
80	169.76	0	0	0
81	178.4	0	0	0
82	216.96	0	0	0
83	245.28	0	0	0
84	233.76	0	0	0
85	223.84	0	0	0
86	198.4	0	0	0
87	173.76	0	0	0
88	171.52	0	0	0
89	165.6	0	0	0
90	174.4	0	0	0
91	175.04	0	0	0
92	181.6	0	0	0
93	200.48	0	0	0
94	214.24	0	0	0
95	233.92	0	0	0
96	240.16	0.16	0	0
97	236.48	0	0	0
98	216.64	0	0	0
99	184.8	0	0	0
100	177.12	0	0	0
101	160.16	0	0	0
102	170.88	0	0	0
103	167.2	0	0	0
104	180.48	0	0	0
105	201.92	0	0	0
106	224	0.16	0	0
107	246.24	0	0	0
108	256.64	0	0	0
109	235.36	0	0	0
110	214.72	0	0	0
111	195.84	0	0	0
112	184.96	0.16	0	0
113	163.52	0	0	0
114	174.72	0	0	0
115	175.68	0	0	0
116	178.08	0	0	0
117	189.76	0	0	0
118	224.48	0	0	0
119	249.12	0.16	0	0
120	251.04	0	0	0
121	245.6	0.16	0	0
122	215.04	0	0	0
123	200.8	0.16	0	0
124	165.6	0.16	0	0
125	164.8	0.32	0	0
126	161.44	0.16	0	0
127	170.72	0	0	0
128	169.44	0	0	0
129	188.64	0.16	0	0
130	236.48	0.32	0	0
131	255.04	0.16	0	0
132	240.96	0	0	0
133	243.36	0.16	0	0
134	224.8	0	0	0
135	192.48	0.32	0	0
136	167.84	0.32	0	0
137	154.4	0.16	0	0
